"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"VCX3A",0,-3.54804299411642,0.146,0.95,0
"BEX1",0,-4.06308314721313,0.085,0.884,0
"ALB",0,6.70410957169574,0.873,0.094,0
"GC",0,5.54470752099476,0.827,0.048,0
"FBLN1",0,-3.92007777530771,0.124,0.886,0
"VCX2",0,-2.67155281765587,0.104,0.864,0
"EPCAM",0,-2.4522206173004,0.113,0.868,0
"KRT19",0,-3.00105506408598,0.098,0.853,0
"CFHR1",0,4.78682288997202,0.765,0.018,0
"ALDH1A1",0,7.65931104727289,0.767,0.027,0
"CLDN6",0,-3.27108746856575,0.089,0.828,0
"TUBB2B",0,-3.81440695177008,0.102,0.837,0
"AKR1C1",0,8.26918347330645,0.778,0.048,0
"AKR1C3",0,5.37271665924492,0.81,0.088,0
"WFDC2",0,-3.18008704313612,0.13,0.851,0
"AKR1C2",0,7.80164880051647,0.764,0.051,0
"PAGE5",0,-2.51157270102866,0.224,0.936,0
"DMKN",0,-2.72811968315796,0.159,0.859,0
"CFH",0,5.17287624437255,0.726,0.034,0
"PGAM2",0,-3.12654707051737,0.088,0.772,0
"VCX",0,-2.15988065350181,0.18,0.864,0
"PRAME",0,-3.13619211723386,0.126,0.809,0
"ANGPTL3",0,7.16766392470924,0.689,0.01,0
"ALDOB",0,9.60353514140182,0.685,0.008,0
"CRABP1",0,-4.47826029727612,0.046,0.723,0
"UGT2B4",0,5.77867110440564,0.69,0.017,0
"TKTL1",0,-2.75353678411055,0.127,0.796,0
"PCSK1N",0,-3.78334259083271,0.123,0.789,0
"TFPI",0,6.34602902585351,0.698,0.034,0
"LGALS4",0,5.62401000221083,0.832,0.178,0
"AZGP1",0,7.54217053474924,0.7,0.047,0
"NDN",0,-3.38844242174159,0.126,0.772,0
"CRIP1",0,-1.66349477429468,0.198,0.843,0
"GP2",0,-3.01069099159834,0.088,0.733,0
"FKBP10",0,-3.07219875061819,0.117,0.758,0
"CP",0,6.42302896344149,0.676,0.048,0
"LY6K",0,-1.83642541791943,0.155,0.783,0
"MYL9",0,-2.53762703549004,0.164,0.791,0
"LDHB",0,-2.55386742888933,0.338,0.963,0
"MT1H",0,-2.67013894308789,0.103,0.725,0
"ACTL8",0,-2.85206247045986,0.156,0.778,0
"BAAT",0,6.44484317618544,0.671,0.05,0
"FGL1",0,5.50001701558772,0.799,0.181,0
"PNMA5",0,-3.05084251571899,0.088,0.705,0
"AKR1B10",0,8.07582153901206,0.662,0.048,0
"GSTP1",0,-1.82438060800633,0.331,0.937,0
"H2AFY2",0,-2.72295864018769,0.11,0.714,0
"MT1F",0,-2.45577201531079,0.22,0.82,0
"MEG3",0,-2.42701593699826,0.095,0.694,0
"CFHR2",0,6.33223924982247,0.605,0.011,0
"FXYD2",0,-1.13629484829031,0.138,0.732,0
"UCHL1",0,-1.60914829487459,0.15,0.743,0
"CPB2",0,5.64507574333125,0.674,0.082,0
"C4orf48",0,-2.28967532928753,0.28,0.87,0
"STMN3",0,-4.1376457445337,0.045,0.635,0
"ACTA1",0,-6.50609304413196,0.009,0.598,0
"UGT2B7",0,8.48652857334786,0.593,0.005,0
"FSCN1",0,-3.04720837985453,0.087,0.671,0
"PON1",0,5.3961554839901,0.605,0.023,0
"AKR1C4",0,7.21488403265311,0.598,0.016,0
"GAL3ST1",0,-3.15115554196523,0.087,0.667,0
"SIVA1",0,3.4455446241055,0.678,0.099,0
"AADAC",0,5.39056289799745,0.604,0.025,0
"NUPR1",0,4.64754357983454,0.856,0.28,0
"TTYH1",0,-3.70583490104435,0.047,0.623,0
"NQO1",0,-1.91401076333738,0.381,0.954,0
"PODXL2",0,-3.37780372057582,0.066,0.637,0
"UGT2B15",0,6.50007922050944,0.582,0.012,0
