"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IGHG3",0,-1.57811801539339,0.224,0.747,0
"NTS",0,-3.68063146937794,0.022,0.495,0
"ALB",0,4.19051639256867,0.83,0.538,0
"APOC3",8.97015629363964e-298,4.15302080575739,0.688,0.21,2.30640658622062e-293
"APOH",1.06530509003535e-281,4.9871406365892,0.606,0.093,2.73911244749888e-277
"LIPA",1.31650602004805e-256,2.34901125757965,0.822,0.563,3.38500027874754e-252
"SEPP1",7.86546404931726e-256,2.96608734460079,0.763,0.359,2.02236811636045e-251
"MIF",1.80898012989986e-254,-1.432864823779,0.649,0.941,4.65124970999852e-250
"S100A8",3.81602145355085e-249,-2.23389143804498,0.181,0.583,9.81175436136994e-245
"TSC22D3",3.43138386858165e-246,2.16978209126537,0.768,0.408,8.82277420289714e-242
"VIM",4.22271130167545e-238,-1.1538233479711,0.94,0.995,1.08574352988679e-233
"IGKC",1.86540845218386e-237,-0.699876296242405,0.605,0.91,4.79633821225515e-233
"TTR",1.46088517550768e-233,3.7781039638571,0.662,0.3,3.75622796326536e-229
"S100A10",4.52557952862326e-229,-1.24335699614231,0.808,0.968,1.16361700839961e-224
"CRIP1",2.4043527426812e-225,-2.143343733491,0.282,0.668,6.18207177198189e-221
"INHBA",3.19986605207246e-221,-3.88420882185326,0.038,0.273,8.2274955930887e-217
"HLA-B",6.43684236142091e-219,0.839659620708815,0.993,0.99,1.65504090796855e-214
"IL1A",1.3466236509996e-216,-3.12545270345506,0.033,0.259,3.46243873145016e-212
"RETN",9.90829952503403e-213,-3.16940090814721,0.058,0.323,2.54762197387675e-208
"APOA1",1.59692681182778e-206,2.37813651473437,0.739,0.312,4.10601821857158e-202
"FKBP5",3.36847925371923e-203,2.83876301102009,0.59,0.186,8.66103385716288e-199
"ALOX5AP",1.02063541248283e-191,-2.01727412363563,0.352,0.691,2.62425777257585e-187
"VCAN",5.61335976385488e-191,-2.08689143137892,0.134,0.455,1.44330706248237e-186
"S100A9",2.98174057471733e-186,-1.58924727170672,0.475,0.815,7.66665136571319e-182
"MCEMP1",9.42959017712364e-186,-3.02177436191672,0.042,0.261,2.42453622634203e-181
"CRP",2.39346330942138e-175,-1.65539874997903,0.068,0.325,6.15407286118425e-171
"CD44",7.68467180205698e-175,-1.30561288284601,0.65,0.88,1.97588281374489e-170
"OLR1",2.3758658195562e-174,-1.81709659415682,0.206,0.543,6.10882619524289e-170
"S100A6",7.79952307478309e-173,-0.945247122267895,0.749,0.968,2.00541337298823e-168
"IGHV6-1",1.17775559894267e-168,-3.48526109296741,0.008,0.14,3.0282451960014e-164
"APOA2",5.01144298256184e-168,2.39933010108549,0.909,0.894,1.2885422196763e-163
"IL7R",9.9954627833702e-168,-1.99558182380055,0.103,0.376,2.57003339086015e-163
"AHSG",3.28196047920389e-167,4.14870626560668,0.496,0.13,8.43857678412904e-163
"PFN1",9.12716769205058e-159,-0.636762149928946,0.938,0.995,2.34677735698005e-154
"HERPUD1",3.00412579153886e-158,1.25676384389036,0.852,0.686,7.72420823520472e-154
"IGKV3-20",2.92964171489366e-157,-2.98621214296922,0.028,0.2,7.53269477733457e-153
"PIM1",5.86607780639373e-156,-1.8195961402419,0.116,0.392,1.50828592557996e-151
"GSTA1",9.34979045651084e-155,4.21628688013197,0.415,0.059,2.40401812217807e-150
"HP",1.97551324988798e-153,4.72958499266345,0.404,0.05,5.07943966811198e-149
"CCL2",1.01546756014853e-151,-2.03377093288338,0.197,0.504,2.61097019065391e-147
"TYMP",1.84829018531433e-150,-0.900880113385218,0.749,0.939,4.7523237244802e-146
"ADAM19",6.64808695831149e-149,-3.619391089237,0.025,0.186,1.70935611872105e-144
"AMBP",1.30411241043767e-148,1.20881876491561,0.761,0.324,3.35313382971735e-144
"C4orf48",1.12478905311716e-146,-1.08397941602399,0.475,0.783,2.89205761337484e-142
"CXCR4",6.10123010574355e-146,1.49160963122372,0.812,0.614,1.56874828478878e-141
"CLEC5A",2.85762621465675e-144,-2.18303178588339,0.071,0.293,7.34752852312542e-140
"RBP4",8.73336488677337e-144,2.21543638542633,0.65,0.321,2.24552277968717e-139
"SLC40A1",2.95554883862244e-142,1.86013281088728,0.611,0.282,7.59930717386603e-138
"RPS24",9.08676110568065e-139,-0.46748271027041,0.993,0.999,2.33638801549261e-134
"SLC2A3",2.42253792199588e-138,-1.22376560955572,0.372,0.699,6.2288295050358e-134
"PSAP",3.7941647104614e-138,0.817660856050415,0.976,0.955,9.75555630353836e-134
"ORM1",1.26443370569701e-135,2.95397321656512,0.468,0.14,3.25111194408815e-131
"BCL2A1",2.26410121754801e-135,-1.03659847396992,0.585,0.847,5.82145705055944e-131
"PGAM1",2.39448644801398e-135,-1.07889067567406,0.543,0.798,6.15670355513355e-131
"G0S2",1.18575692470946e-132,-1.41881960849439,0.513,0.811,3.04881820481297e-128
"SERPINC1",5.73793475563072e-131,6.74914798530445,0.316,0.008,1.47533778436777e-126
"S100B",1.9643392949746e-130,-2.59300261004976,0.075,0.286,5.0507091952387e-126
"S100A11",3.30273929677589e-130,-0.548004562701034,0.971,0.994,8.49200327987017e-126
"CYBA",1.73813190684193e-128,-0.607835193090871,0.871,0.995,4.46908475887196e-124
"WFDC2",2.46180056355519e-127,-2.71062542282561,0.027,0.178,6.32978160901311e-123
"CALM1",2.61006375609906e-127,-0.851063871982618,0.774,0.91,6.71099592968191e-123
"PDK4",3.84265512410169e-127,2.87868310934741,0.539,0.235,9.88023485509026e-123
"KNG1",7.03748045475427e-127,4.72903450903019,0.336,0.03,1.80947697452642e-122
"HLA-DPA1",2.88069039927997e-126,1.01534223703601,0.958,0.947,7.40683115462866e-122
"CPM",3.49298636598058e-125,2.3577125291941,0.538,0.242,8.98116654420927e-121
"C15orf48",2.83737685121295e-124,-0.973250352177551,0.56,0.868,7.29546335983873e-120
"GC",2.13438646886888e-122,2.97816490774176,0.415,0.104,5.48793448875565e-118
"AC090498.1",1.09216889121641e-121,-0.795362734031633,0.746,0.917,2.80818465309563e-117
"VCX3A",1.22540560365418e-120,-2.74761657166785,0.071,0.261,3.15076288811564e-116
"SDCBP",1.29612360610943e-120,0.824859991001116,0.936,0.894,3.33259301602856e-116
"A2M",2.82467041352545e-120,1.63050183279727,0.603,0.309,7.26279256725665e-116
"SLC16A3",1.27732385591852e-117,-1.02495690216718,0.378,0.683,3.28425509833769e-113
"B2M",4.44305212476397e-117,0.497499623963645,1,1,1.14239756231931e-112
"FGL2",1.67067941554019e-115,1.32216448640288,0.728,0.515,4.29565091323693e-111
"IL6",1.68215126700826e-115,-2.46963480285362,0.058,0.24,4.32514733773165e-111
"FBLN1",2.50136230314602e-114,-2.79399162460912,0.028,0.169,6.43150275384905e-110
"BEX1",8.94125010372761e-114,-2.78249558691352,0.028,0.168,2.29897422667044e-109
"IL1RN",4.98197343491326e-113,-1.10406848598844,0.332,0.638,1.2809650095849e-108
"TUBB2B",2.31298341613223e-112,-2.82602464363945,0.016,0.133,5.9471429595592e-108
"ALOX5",7.48209282086398e-112,-1.63008292292772,0.157,0.402,1.92379570610055e-107
"EREG",2.92134621914235e-111,-1.71216431882594,0.206,0.475,7.51136539865881e-107
