"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"BEX1",2.41072565200157e-154,-3.83597740727217,0.015,0.27,6.19845779642644e-150
"VCX3A",2.41474641413853e-146,-3.25769203815436,0.064,0.472,6.20879598003299e-142
"FBLN1",5.40527291282121e-127,-3.36205087343373,0.018,0.258,1.38980377134459e-122
"NTS",2.50538071372903e-115,-3.22123861236925,0.011,0.202,6.44183489114009e-111
"PAGE5",1.00392824637673e-109,-2.59045084722614,0.063,0.412,2.58130030708384e-105
"TUBB2B",3.29990742314432e-107,-3.52773957524301,0.012,0.196,8.48472196638867e-103
"ACTA1",1.82970810690845e-103,-5.83752576214754,0.002,0.11,4.70454548448301e-99
"TSC22D3",7.79456714896417e-95,2.42025882089535,0.883,0.635,2.00413910534167e-90
"GP2",2.65923680704361e-92,-2.98951946666389,0.015,0.196,6.83742967827053e-88
"CD24",1.70920088141038e-90,-2.51990163518544,0.044,0.318,4.39469730628237e-86
"PRAME",2.80430071537717e-87,-3.56878926607963,0.007,0.145,7.21041799937779e-83
"MT1G",2.88696081410304e-86,-2.27732542487301,0.088,0.436,7.42295364522174e-82
"CRABP1",4.72709891756904e-84,-4.14389393588476,0.003,0.11,1.21543167368535e-79
"CKB",2.6217545897852e-83,-2.41056967633549,0.087,0.424,6.74105540125571e-79
"MDK",1.13248277871546e-82,-2.51669270561588,0.135,0.504,2.91183972063319e-78
"CLDN6",2.17840402380273e-82,-3.05374701045098,0.014,0.178,5.60111242600159e-78
"ALB",2.32128377112442e-79,3.72270408490142,0.724,0.315,5.9684848323151e-75
"WFDC2",3.57789801722831e-79,-2.80702310053829,0.018,0.196,9.19949138189743e-75
"KRT19",3.03407995929744e-75,-2.69320723719952,0.023,0.211,7.80122639134559e-71
"CTAG2",5.71789856019799e-74,-3.1970234749312,0.019,0.19,1.47018607779811e-69
"SERPINH1",4.26773156134709e-73,-2.08919502207782,0.129,0.493,1.09731913905356e-68
"DMKN",7.06864968675348e-72,-2.34868903629987,0.025,0.217,1.81749120745806e-67
